"annotation_id","annotator","comment_id","create_time","create_time_iso","created_at","id","lead_time","like_count","parent_id","reply_count","sentiment","source_file","text","type","updated_at","username","video_id"
24,"1","UgzukimujKw9cNxbl514AaABAg",1763468757.0,"2025-11-18T12:25:57Z","2026-02-26T12:18:47.494573Z",4945,2.813,4,"",1.0,"Negative","dataset_youtube_CdZvEO8qP-g.csv","Nepalkan!!","comment","2026-02-26T12:18:47.494607Z","@ShaerulNofriantoix","CdZvEO8qP-g"
25,"1","UgzVss1Nznv8dYbYLRl4AaABAg",1763554432.0,"2025-11-19T12:13:52Z","2026-02-26T12:19:08.252644Z",4946,19.851,3,"",0.0,"Negative","dataset_youtube_R5R2AzsQW4c.csv","Pidana maunya diringankan kan semua, jadi apa fungsinya hukum buk Puan?","comment","2026-02-26T12:19:08.252677Z","@news-Gaming-e5d","R5R2AzsQW4c"
26,"1","Ugzi9p4sjZjZ1KUjJvd4AaABAg.APgGgGUqncaAPgfBdoMB54",1763519278.0,"2025-11-19T02:27:58Z","2026-02-26T12:19:13.907901Z",4947,4.644,0,"Ugzi9p4sjZjZ1KUjJvd4AaABAg","","Negative","dataset_youtube_cSJIdclNL60.csv","tunggu pembalasan rakyat di tahun 2030,, mari kita buat mrka ndk dapat suara rakyat,","reply","2026-02-26T12:19:13.907927Z","@nanaicruz1318","cSJIdclNL60"
27,"1","UgwoG2Xy2jgzyVLlflF4AaABAg",1767495623.0,"2026-01-04T03:00:23Z","2026-02-26T12:19:18.575823Z",4948,6.422000000000001,0,"",0.0,"Positive","dataset_youtube_shoYSQlKgKY.csv","amin.","comment","2026-02-26T12:19:26.531607Z","@jerriputraka6360","shoYSQlKgKY"
28,"1","UgzQBu9feIJD_ejzZRV4AaABAg",1767497336.0,"2026-01-04T03:28:56Z","2026-02-26T12:19:31.045467Z",4949,5.387,0,"",0.0,"Neutral","dataset_youtube_shoYSQlKgKY.csv","Hasil musyawarah mufakat ya,apakah rakyat setuju😂😂😂","comment","2026-02-26T12:19:32.963038Z","@SitimasitohItoh-e1r9w","shoYSQlKgKY"
40,"1","UgzxwZdHm5534gXR2K14AaABAg",1767316083.0,"2026-01-02T01:08:03Z","2026-02-26T12:25:01.964078Z",4950,1.129,0,"",0.0,"Neutral","dataset_youtube_1cS3OVTYTPc.csv","saya akan kejar sampe antartika, tapi lepas lagi kalo saya kenal","comment","2026-02-26T12:25:01.964094Z","@keypass-k2v","1cS3OVTYTPc"
29,"1","UgxQF44uSUaV-TKQvJ94AaABAg",1763513266.0,"2025-11-19T00:47:46Z","2026-02-26T12:23:34.825574Z",4951,4.228,0,"",0.0,"Negative","dataset_youtube_UW9Fv322x4I.csv","*UU PERLINDUNGAN KORUPTOR*","comment","2026-02-26T12:23:34.825599Z","@asterix319","UW9Fv322x4I"
30,"1","UgySfAz9e9tJhIShsx94AaABAg",1767627499.0,"2026-01-05T15:38:19Z","2026-02-26T12:23:39.039037Z",4952,3.401,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","hukum mati koruptor ?","comment","2026-02-26T12:23:39.039066Z","@ehboy92","shoYSQlKgKY"
31,"1","Ugyp63nWRBDsIjTZIEh4AaABAg",1771108713.0,"2026-02-14T22:38:33Z","2026-02-26T12:23:59.647162Z",4953,19.831,0,"",0.0,"Negative","dataset_youtube_kTF__fN9vq5eSEeM.csv","Heran Saya Banyak Pakar dan Ahli di Negeri ini Tidak Terpikir menyusun KUHP yg mengatur Koruptor, Maling dan Pencuri divonis berdasarkan Jumlah Kerugian.  Kalau maling kambing seharga 5 jt dituntut 1 tahun maka koruptor 100 jt harus dituntut 20 tahun begetu seterusnya sesuai jumlah kerugian. Kalau sampai KUHP berdasarkan Jumlah Kerugian, saya yakin Tidak perlu Hukuman Mati dan UU Perampasan Aset bagi Koruptor.","comment","2026-02-26T12:23:59.647186Z","@Tania-o8g9x","fN9vq5eSEeM"
32,"1","Ugx1ZoW_0HjrN0KZvod4AaABAg",1767920462.0,"2026-01-09T01:01:02Z","2026-02-26T12:24:06.958515Z",4954,4.943,0,"",0.0,"Negative","dataset_youtube_kTF__fN9vq5eSEeM.csv","Hei tikus tikus..UUD perampasan asetnya mana.halllloooo apa mau didiamkan.jangan sempat rakyat marah lagi.,","comment","2026-02-26T12:24:06.958539Z","@RaniKode-v9d","fN9vq5eSEeM"
33,"1","UgzjtW1AH9rsZzjsF8x4AaABAg.APf8zAtz_FWAPfAitnR8u_",1763469227.0,"2025-11-18T12:33:47Z","2026-02-26T12:24:14.082901Z",4955,5.523,0,"UgzjtW1AH9rsZzjsF8x4AaABAg","","Negative","dataset_youtube_CdZvEO8qP-g.csv","Saya juga muak.","reply","2026-02-26T12:24:14.082925Z","@lukmanhidayat8553","CdZvEO8qP-g"
34,"1","UgwSDvBC5yBHZaESKGV4AaABAg",1767726230.0,"2026-01-06T19:03:50Z","2026-02-26T12:24:24.912488Z",4956,9.411,1,"",0.0,"Negative","dataset_youtube_kTF__fN9vq5eSEeM.csv","PASAL KUHP...RAKYAT KE PEMERINTAH MANA YA....??...Bukankah Indonesia Puncak Kekuasaan di miliki RAKYAT RI....😂😂 KUHP Abal2 Probowo omon-omon","comment","2026-02-26T12:24:24.912514Z","@srihidayah1583","fN9vq5eSEeM"
35,"1","UgwEkXys77LEL19ZnL54AaABAg",1767442320.0,"2026-01-03T12:12:00Z","2026-02-26T12:24:27.647857Z",4957,1.964,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Selamat datang di negeri dagelan","comment","2026-02-26T12:24:27.647871Z","@bayubajrah703","shoYSQlKgKY"
36,"1","Ugw-TNFY1lTU9sqleVl4AaABAg",1763557843.0,"2025-11-19T13:10:43Z","2026-02-26T12:24:34.562078Z",4958,6.258,0,"",0.0,"Negative","dataset_youtube_Qw10XTGCt8A.csv","Demo seperti apapun rasanya percuma Kalau di saat ada pemilu semua rakyat masih mau menerima uang sogokan dari calon","comment","2026-02-26T12:24:34.562101Z","@heriantp2205","Qw10XTGCt8A"
37,"1","UgxkpyDQRy-QuLLHZsF4AaABAg",1767385460.0,"2026-01-02T20:24:20Z","2026-02-26T12:24:38.551329Z",4959,3.347,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Katanya negara demokrasi kalo gini mah sama aja boong lawak banget ni negara 😂😂😂😂","comment","2026-02-26T12:24:38.551362Z","@uculfun","shoYSQlKgKY"
38,"1","UgzLrzSLTUrLdrmu_VN4AaABAg",1767528871.0,"2026-01-04T12:14:31Z","2026-02-26T12:24:46.061024Z",4960,6.474,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Yo yo yo Makin kkoh kekuatan dpr dan aparatnya dengn bikin undang2 untuk mensejahterakn anggotnya masing2","comment","2026-02-26T12:24:46.061048Z","@ahmadrosidin6905","shoYSQlKgKY"
39,"1","UgyYv1zlS0-YvdGbSl14AaABAg",1767415504.0,"2026-01-03T04:45:04Z","2026-02-26T12:24:58.578249Z",4961,11.535,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Undang undang kok kayak gini.... buat undang undang koruptor suap dihukum mati dan miskin kan keluarganya yang menikmati hasil...","comment","2026-02-26T12:24:58.578273Z","@mselamet2501","shoYSQlKgKY"
41,"1","UgzyUV42iGo1gUS9wzJ4AaABAg",1763513938.0,"2025-11-19T00:58:58Z","2026-02-26T12:25:06.970401Z",4962,3.163,0,"",0.0,"Negative","dataset_youtube_UW9Fv322x4I.csv","Gulingkan aja mereka.. Ngak ada gunanya","comment","2026-02-26T12:25:06.970425Z","@YeriHezron","UW9Fv322x4I"
42,"1","UgyLVjzpR1jxrvse9Tl4AaABAg",1763514670.0,"2025-11-19T01:11:10Z","2026-02-26T12:25:09.146421Z",4963,1.526,0,"",0.0,"Negative","dataset_youtube_UW9Fv322x4I.csv","Perampasan aset hukum mati koruptor . Gak  kelar kelar","comment","2026-02-26T12:25:09.146435Z","@Eko-o8t","UW9Fv322x4I"
43,"1","UgwLFvYdxmEnxNLkqd14AaABAg",1767271602.0,"2026-01-01T12:46:42Z","2026-02-26T12:25:18.628811Z",4964,8.761,1,"",0.0,"Positive","dataset_youtube_1cS3OVTYTPc.csv","Biar UUD perampasan aset disahkan,ini salah satu sarat nya kuhap oleh presiden","comment","2026-02-26T12:25:18.628846Z","@Bentcoffe","1cS3OVTYTPc"
44,"1","UgxNDcBB3ReiaYzVLK54AaABAg.ARWAIPeOyJhARYAUiUVmi8",1767495635.0,"2026-01-04T03:00:35Z","2026-02-26T12:25:23.825144Z",4965,4.433,0,"UgxNDcBB3ReiaYzVLK54AaABAg","","Positive","dataset_youtube_shoYSQlKgKY.csv","Hajar terus agar yang bayak bacot suka menghina  biyar penjara  semua 😂😂​@ariyadisaputra","reply","2026-02-26T12:25:23.825168Z","@yudistira3499","shoYSQlKgKY"
45,"1","UgztHkoWCSyjiryIENp4AaABAg",1763558145.0,"2025-11-19T13:15:45Z","2026-02-26T12:25:32.067846Z",4966,7.238,0,"",0.0,"Negative","dataset_youtube_Qw10XTGCt8A.csv","Kuhap begitu dua hari giliran perampasan aset ga di bahas biadab benar orang orang gitu semoga aja Alloh segera turun  marilah kita salat istigosa agar orang dolim bisa Alloh ajab secepat mungkin amin","comment","2026-02-26T12:25:32.067873Z","@satriapermana01satria47","Qw10XTGCt8A"
46,"1","Ugy6hP4W8V3LC8dh_nd4AaABAg",1767512618.0,"2026-01-04T07:43:38Z","2026-02-26T12:25:41.041229Z",4967,7.933,0,"",0.0,"Negative","dataset_youtube_w0d3QZfY60Y.csv","Kalau begitu tambah saja rumah tahanan supaya tidak sempit","comment","2026-02-26T12:25:41.041255Z","@muhamadnurfauzi3866","w0d3QZfY60Y"
47,"1","UgyCfi96_6fuVVmBLVR4AaABAg",1767401773.0,"2026-01-03T00:56:13Z","2026-02-26T12:25:50.998874Z",4968,9.266,0,"",0.0,"Positive","dataset_youtube_w0d3QZfY60Y.csv","soalnya di indonesia banyak sekali orang malas kerja karena perselingkuhan zinah judi dan sebagainya merusak moral anak generasi penerus bangsa ini tolong di perbaiki negeri ini","comment","2026-02-26T12:25:50.998902Z","@jij8814","w0d3QZfY60Y"
48,"1","Ugwt6zqbHW8U55rgbq94AaABAg",1763555427.0,"2025-11-19T12:30:27Z","2026-02-26T12:28:40.152978Z",4969,38.498,11,"",0.0,"Negative","dataset_youtube_Qw10XTGCt8A.csv","selagi KETUA DPR nya masih di duduki sama Puan, Gak akan bener, malah makin KACAU,PARAH.  Hak² Rakyat di rampas Keinginan/Suara Rakyat tidak di tanggapi,tidak di penuhi.","comment","2026-02-26T12:28:40.153000Z","@giasaputra-20","Qw10XTGCt8A"
49,"1","Ugxyd8y2aqtobQc7yU54AaABAg",1767484625.0,"2026-01-03T23:57:05Z","2026-02-26T12:28:46.457528Z",4970,5.642,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Indonesia bodoh kenapa tak demo. UUD rampar harta kuruptor mana","comment","2026-02-26T12:28:46.457560Z","@ziji5687","shoYSQlKgKY"
50,"1","UgxMOLBnk1aDVy-OGQJ4AaABAg",1767446625.0,"2026-01-03T13:23:45Z","2026-02-26T12:28:51.477697Z",4971,3.185,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Memang indon otoriter","comment","2026-02-26T12:28:51.477721Z","@cekmiawalpeduli8598","shoYSQlKgKY"
51,"1","Ugx0PRp__8t3SUtE1S54AaABAg",1763564753.0,"2025-11-19T15:05:53Z","2026-02-26T12:28:55.340647Z",4972,2.531,0,"",0.0,"Negative","dataset_youtube_Qw10XTGCt8A.csv","Gak ada wakil rakyat sampai kiamat","comment","2026-02-26T12:28:55.340663Z","@Endan-k9p","Qw10XTGCt8A"
52,"1","Ugyz_2Bvir_tC_1XNRd4AaABAg.ARUQSualuheARW7xJ255zz",1767427195.0,"2026-01-03T07:59:55Z","2026-02-26T12:32:34.365971Z",4973,34.445,0,"Ugyz_2Bvir_tC_1XNRd4AaABAg","","Positive","dataset_youtube_shoYSQlKgKY.csv","Betul.jmn sekarang BKN kritik .kebanyakan menghina persiden","reply","2026-02-26T12:32:34.365997Z","@anamaningbae8503","shoYSQlKgKY"
53,"1","Ugx2gsJajL9PgbuAKIh4AaABAg",1763468700.0,"2025-11-18T12:25:00Z","2026-02-26T12:32:38.639309Z",4974,3.334,14,"",0.0,"Negative","dataset_youtube_CdZvEO8qP-g.csv","Jujur cuma bikin perut mual teruss","comment","2026-02-26T12:32:38.639332Z","@asri-r9k","CdZvEO8qP-g"
54,"1","UgzmD0M_XyN01lk2awt4AaABAg",1767332006.0,"2026-01-02T05:33:26Z","2026-02-26T12:33:11.060262Z",4975,31.526,0,"",0.0,"Negative","dataset_youtube_w0d3QZfY60Y.csv","rakyat berhatap ada hukuman mati bagi korupyor, dpr mengeluakan uu hukuman kerja sosial😂😂😂😂enak nih kata koruptor😂😂😂memang negara ini sudah parah","comment","2026-02-26T12:33:11.060286Z","@irwanariyanto8835","w0d3QZfY60Y"
55,"1","Ugy7GXSU-BbGkQzWk4h4AaABAg",1763556878.0,"2025-11-19T12:54:38Z","2026-02-26T12:33:16.221846Z",4976,4.33,1,"",0.0,"Negative","dataset_youtube_Qw10XTGCt8A.csv","Sah kan perampasan aset koruptor kalau berani","comment","2026-02-26T12:33:16.221867Z","@SodikinSodikin-b3x","Qw10XTGCt8A"
56,"1","UgzkaXt3G2OmQsEt_NZ4AaABAg.ARRSmGM91TwARRp-eZ3wIL",1767282519.0,"2026-01-01T15:48:39Z","2026-02-26T12:33:32.229936Z",4977,15.22,0,"UgzkaXt3G2OmQsEt_NZ4AaABAg","","Negative","dataset_youtube_w0d3QZfY60Y.csv","Terus maksud kau? Biar aja makan gratis g berguna dipenjara gt? Ini niru negara maju tau negara maju? Sdh sejak dlu. Kita cm ikut2an. Cb lu mikir drpd ngasih makan bagus dsrh kerja toh? Soal denda itu beda konteks ini bcr hukuman kok jd denda? Emg ada pilihan?","reply","2026-02-26T12:33:32.229959Z","@black_shadow-k9y","w0d3QZfY60Y"
57,"1","UgzQ3tB6ALROb3WokPl4AaABAg",1767330221.0,"2026-01-02T05:03:41Z","2026-02-26T12:33:34.615723Z",4978,1.556,0,"",0.0,"Negative","dataset_youtube_w0d3QZfY60Y.csv","Tembak mati lah wes","comment","2026-02-26T12:33:34.615745Z","@AguseSan","w0d3QZfY60Y"
58,"1","Ugx-QZFUXp6wjOR2ZU54AaABAg",1763553112.0,"2025-11-19T11:51:52Z","2026-02-26T12:33:43.446227Z",4979,8.171,0,"",0.0,"Negative","dataset_youtube_R5R2AzsQW4c.csv","KUHAP yg baru ini benar2 menunjukan perlawan mereka terhadap rakyat biasa/masyarakat indonesia. Dan kuhap ini juga bisa dijadikan warga/rakyat menjadi kambing hitam,dan ini benar2 berbahya bagi rakyat. data pribadi rakyat beserta barang milik rakyat bisa saja ditahan tanpa waktu yg pasti,dan ini adalah pasal yg gk jelas,ini sunguh merugikan rakayat,bayangkan data pribadi&barang2 ditahan,bisa saja datah bocor/dibocorka dan barang hilang/dihilangkan.","comment","2026-02-26T12:33:43.446249Z","@Kkm737","R5R2AzsQW4c"
59,"1","UgypAV4Y_X4dXmqvIJl4AaABAg",1763477182.0,"2025-11-18T14:46:22Z","2026-02-26T12:33:53.175208Z",4980,8.957,1,"",0.0,"Negative","dataset_youtube_cSJIdclNL60.csv","Kata dpr itu untuk rakyat.  Lah ini rakyat yang mana kalau gak becus dan pengen negara semaunya mending buat negara sendiri buat uu perampasan aset aja sampai sekarang gak ada kabar lagi","comment","2026-02-26T12:33:53.175233Z","@adenarizal","cSJIdclNL60"
60,"1","Ugw17EBxMk0PlLSkhkJ4AaABAg",1767335221.0,"2026-01-02T06:27:01Z","2026-02-26T12:33:55.579000Z",4981,1.698,0,"",0.0,"Negative","dataset_youtube_lTKZ2m9YJms.csv","DPR minta ke Nepal ini namanya","comment","2026-02-26T12:33:55.579023Z","@miscadasngampar3731","lTKZ2m9YJms"
61,"1","UgwBMPXTVFLsaolod6h4AaABAg",1767336475.0,"2026-01-02T06:47:55Z","2026-02-26T12:34:00.532660Z",4982,4.325,0,"",0.0,"Negative","dataset_youtube_w0d3QZfY60Y.csv","KOLONIALISME ALA MILITER BY BOWO😂 INDONESIA BALIK KE ZAMAN SURIYAH(ORDE BARU)😂BUKAN SI ANIS YANG BUAT INDONESIA KAYAK SURIYAH,LIBYA,DAN AFGANISTAN,TERNYATA SI BOWO🤣🤣🤣","comment","2026-02-26T12:34:00.532691Z","@Mysteriousb33","w0d3QZfY60Y"
62,"1","Ugzg-zU7P2HCtkOQIsR4AaABAg",1767412683.0,"2026-01-03T03:58:03Z","2026-02-26T12:34:04.632418Z",4983,3.062,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Yg suka kritik siap2 penjara 6 bulan cok","comment","2026-02-26T12:34:04.632442Z","@nirwanalolipop2120","shoYSQlKgKY"
63,"1","UgzOb9rL6MvhbsnAns14AaABAg",1767528212.0,"2026-01-04T12:03:32Z","2026-02-26T12:34:11.885815Z",4984,6.486,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Emang presiden kita ini punya kehormatan?","comment","2026-02-26T12:34:11.885834Z","@Jak-nonton","shoYSQlKgKY"
64,"1","UgxYC4Os1g6Q9KSW9814AaABAg",1767445435.0,"2026-01-03T13:03:55Z","2026-02-26T12:36:09.877967Z",4987,3.013,0,"",0.0,"Negative","dataset_youtube_w0d3QZfY60Y.csv","Cara baru lindungi koruptor.","comment","2026-02-26T12:36:09.877993Z","@pakdhesigit5682","w0d3QZfY60Y"
65,"1","Ugx6_fUTM-IvsfLYzJh4AaABAg",1767469875.0,"2026-01-03T19:51:15Z","2026-02-26T12:36:13.250713Z",4988,2.608,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","tau tau disahkan diem diem","comment","2026-02-26T12:36:13.250739Z","@sutisnachanel8201","shoYSQlKgKY"
66,"1","UgxY97uqO4Vwsh6wqxd4AaABAg",1767395866.0,"2026-01-02T23:17:46Z","2026-02-26T12:36:20.368418Z",4989,1.119,0,"",0.0,"Neutral","dataset_youtube_shoYSQlKgKY.csv","waawww","comment","2026-02-26T12:36:20.368444Z","@disya_bs","shoYSQlKgKY"
67,"1","UgyDfY2GWyzjD1kSKS94AaABAg",1767531613.0,"2026-01-04T13:00:13Z","2026-02-26T12:36:30.222083Z",4990,9.207,0,"",0.0,"Positive","dataset_youtube_w0d3QZfY60Y.csv","HARUS DI LAKUKAN UNTUK HUKUM MAN KEPADA TAWURAN","comment","2026-02-26T12:36:30.222104Z","@abdulazis2760","w0d3QZfY60Y"
68,"1","UgyHIKxO1SVMElqtclt4AaABAg",1767446524.0,"2026-01-03T13:22:04Z","2026-02-26T12:36:37.898618Z",4991,6.97,0,"",0.0,"Negative","dataset_youtube_HBcSv8TqW5w.csv","Kemarin merubah umur pencalonan presiden dan wakil presiden secara mendadak , sekarang membuat KUHAP secara mendadak yg membuat masyarakat TDK boleh kritik pemerintah,fix ni perintah geng  solo","comment","2026-02-26T12:36:37.898634Z","@kutukiti511","HBcSv8TqW5w"
69,"1","UgxnttC1H0JR9N0agsh4AaABAg",1767331704.0,"2026-01-02T05:28:24Z","2026-02-26T12:36:47.323953Z",4992,8.571,0,"",0.0,"Negative","dataset_youtube_w0d3QZfY60Y.csv","Semestinya UU Perampasan aset di prioritaskan ❤.  Kalau yang membuat UU masih banyak oknum korup yang menduduki jabatan hasilnya UU nya  juga Tidak sesuai Harapan Rakyat. Fakta dan data Angka Korup sangat tinggi dan Bangsa kaya Banyak Rakyat Hidup Tak berdaya karena kesulitan.","comment","2026-02-26T12:36:47.323973Z","@Wirayasamade","w0d3QZfY60Y"
70,"1","UgwoFkgUk5eOhcynmzR4AaABAg",1767373700.0,"2026-01-02T17:08:20Z","2026-02-26T12:36:56.303445Z",4993,8.248,54,"",11.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","Intinya KUHP & KUHAP baru hanya melindungi pejabat, hanya Allah yg mampu melindungi rakyat & hanya tangan Allah yg bisa membalas para penjahat😢","comment","2026-02-26T12:36:56.303466Z","@Qhoris","shoYSQlKgKY"
71,"1","UgwWTpPwzlG9NZa6r4l4AaABAg",1767322977.0,"2026-01-02T03:02:57Z","2026-02-26T12:36:59.748673Z",4994,2.164,5,"",0.0,"Negative","dataset_youtube_lTKZ2m9YJms.csv","Uu perampasan aset woi bubarkan DPR","comment","2026-02-26T12:36:59.748693Z","@sulissulis6311","lTKZ2m9YJms"
72,"1","UgwTcm5tfEWL49Tb9FB4AaABAg",1767835181.0,"2026-01-08T01:19:41Z","2026-02-26T12:37:13.565569Z",4995,11.031,3,"",3.0,"Negative","dataset_youtube_4_3LY-OHPbs.csv","mengapa DPR tdk mau atau menunda nunda  atau takut membahas dan takut mengesahkan UU Perampasan Aset para koruptor ada apa dan mdngapa???","comment","2026-02-26T12:37:13.565590Z","@muhammadarifin8742","4_3LY-OHPbs"
73,"1","UgxJyr5tx5jMESmqrpZ4AaABAg.APgR1y62lqRAPgSJr_PxI1",1763512005.0,"2025-11-19T00:26:45Z","2026-02-26T12:37:29.930913Z",4996,15.486,6,"UgxJyr5tx5jMESmqrpZ4AaABAg","","Negative","dataset_youtube_UW9Fv322x4I.csv","Betul selama kloni2 pdip berkuasa di dpr kebijakan nya akan sllu ngaur tdk pro ke rakyat dan UU perampasan aset dn memiskinkan koruptor tdk akn di sah kan yakin lah itu","reply","2026-02-26T12:37:29.930929Z","@sadrienot6560","UW9Fv322x4I"
74,"1","UgzO-xUhgnvZqgCzs0J4AaABAg",1767375637.0,"2026-01-02T17:40:37Z","2026-02-26T12:37:50.855464Z",4997,20.226,0,"",0.0,"Positive","dataset_youtube_shoYSQlKgKY.csv","🤔🤔 EMANG RAKYAT PUNYA MEMTAL DEMO BESR2AN & NEPALKAN  KLU GA ADA PROPOKATOR YANG MULAI DULUAN 🤔🤔...ASLINYA CUMA PLANGA..PLONGO DOANG...CUMA TERIMA NASIB BURUK👎👎👎","comment","2026-02-26T12:37:50.855485Z","@PRINGBOY-j4c","shoYSQlKgKY"
75,"1","UgyQdpFC-YYV-axNs_V4AaABAg.ARWUyw4JOiFARWi8SuzZiK",1767446693.0,"2026-01-03T13:24:53Z","2026-02-26T12:38:23.952455Z",4998,7.814,1,"UgyQdpFC-YYV-axNs_V4AaABAg","","Positive","dataset_youtube_shoYSQlKgKY.csv","Setuju","reply","2026-02-26T12:38:23.952501Z","@SalsabilaSalsa-nm1zc","shoYSQlKgKY"
76,"1","Ugx6I0CJOHdcKcLyUKZ4AaABAg.ARUOhjpy7ciARYptnrLsKH",1767517868.0,"2026-01-04T09:11:08Z","2026-02-26T12:38:30.591448Z",4999,5.902,0,"Ugx6I0CJOHdcKcLyUKZ4AaABAg","","Negative","dataset_youtube_shoYSQlKgKY.csv","Ah..orde baru gk begitu"" banget","reply","2026-02-26T12:38:30.591472Z","@gunturriyadi2694","shoYSQlKgKY"
77,"1","Ugw4OzhDKdUy5dbnq994AaABAg",1767420012.0,"2026-01-03T06:00:12Z","2026-02-26T12:38:32.575120Z",5000,1.345,0,"",0.0,"Negative","dataset_youtube_shoYSQlKgKY.csv","HahahahanJing...","comment","2026-02-26T12:38:32.575135Z","@bamsservic5945","shoYSQlKgKY"
78,"1","UgzrJP1t3C7GA5vpQeF4AaABAg",1763470245.0,"2025-11-18T12:50:45Z","2026-02-26T12:38:39.787917Z",5001,6.606,0,"",0.0,"Negative","dataset_youtube_CdZvEO8qP-g.csv","Hai puan kenapa gak kamu sahkan saja perampasan aset dan pemiskinan koruptor..malah utak Atik KUHP.","comment","2026-02-26T12:38:39.787942Z","@fairuzhanifa6146","CdZvEO8qP-g"
79,"1","Ugx-VQS9tw1IoJCSxj54AaABAg",1767325472.0,"2026-01-02T03:44:32Z","2026-02-26T12:38:44.456705Z",5002,3.662,0,"",0.0,"Negative","dataset_youtube_w0d3QZfY60Y.csv","Cikal bakal kerja rodi","comment","2026-02-26T12:38:44.456727Z","@budakdogil2344","w0d3QZfY60Y"
80,"1","Ugz0lxivgvPgQz1thb14AaABAg",1763513633.0,"2025-11-19T00:53:53Z","2026-02-26T12:38:49.353645Z",5003,4.208,0,"",0.0,"Negative","dataset_youtube_UW9Fv322x4I.csv","DPR kira² kapan ya di Nepalkan ??!!","comment","2026-02-26T12:38:49.353669Z","@ino26channel41","UW9Fv322x4I"
81,"1","Ugw25DLj_63K_bHx3jx4AaABAg.ARSNQsQDiIjARTIf_Tohwi",1767332154.0,"2026-01-02T05:35:54Z","2026-02-26T12:38:51.999185Z",5004,1.807,0,"Ugw25DLj_63K_bHx3jx4AaABAg","","Negative","dataset_youtube_w0d3QZfY60Y.csv","Enak bener","reply","2026-02-26T12:38:51.999208Z","@scorchpunyasubhan7143","w0d3QZfY60Y"
82,"1","UgzbbQZpDmPG4rjxVPV4AaABAg",1767455188.0,"2026-01-03T15:46:28Z","2026-02-26T12:39:01.122835Z",5005,8.586,0,"",0.0,"Negative","dataset_youtube_w0d3QZfY60Y.csv","Maling sendal maling ayam mukul orang pencopet , kdrt hukuman di bawah 5 thn bakal menjamur tambah kacau , korupsi 5T jika bayar denda uang di kembalikan 4T bakalan bebas","comment","2026-02-26T12:39:01.122858Z","@rahmat5047","w0d3QZfY60Y"
83,"1","Ugznqo8fLV4Agg2HSlZ4AaABAg",1763470013.0,"2025-11-18T12:46:53Z","2026-02-26T12:39:03.667503Z",5006,1.506,0,"",1.0,"Negative","dataset_youtube_CdZvEO8qP-g.csv","Ohh ini yang dinamakan DPR🤡","comment","2026-02-26T12:39:03.667518Z","@donaldsugesti7172","CdZvEO8qP-g"
84,"1","Ugxmo5MlXY3x60si8GZ4AaABAg",1763610163.0,"2025-11-20T03:42:43Z","2026-02-26T12:39:05.774574Z",5007,1.502,0,"",0.0,"Negative","dataset_youtube_CdZvEO8qP-g.csv","Tidak ada untungnya utk rakyat.","comment","2026-02-26T12:39:05.774597Z","@AUSKARNISER-gh2hj","CdZvEO8qP-g"
85,"1","UgyI_wJ-IYYslXCzZo54AaABAg",1763556039.0,"2025-11-19T12:40:39Z","2026-02-26T12:39:09.897356Z",5008,3.568,0,"",0.0,"Negative","dataset_youtube_Qw10XTGCt8A.csv","DPR hanya memoerkaya diri dng uang, mensahkan yg tdk jelas untuk merugikan rakyat.","comment","2026-02-26T12:39:09.897376Z","@ReskiHastuti","Qw10XTGCt8A"
