video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
4_3LY-OHPbs,UgyVnSTvF4LJIMbLAlx4AaABAg,,comment,1767830605.0,2026-01-08T00:03:25Z,@nianiariyah,Kebanyakan itu bukan kritik tapi menghadap dan menghujat pejabat terutama menghujat presiden itu yng lbh parah saya se7 kl menghina dan mnghujat itu dipenjara spy tdk se enak jidatnya saja,0,1.0
4_3LY-OHPbs,UgyVnSTvF4LJIMbLAlx4AaABAg.ARh9Og3gtQ0ARhAJzE7TNV,UgyVnSTvF4LJIMbLAlx4AaABAg,reply,1767831091.0,2026-01-08T00:11:31Z,@JayaAnugrah-ii7nb,Pembungkaman bagi rakyat...,0,
4_3LY-OHPbs,UgwX2DEeMo_cUW41R8Z4AaABAg,,comment,1767831290.0,2026-01-08T00:14:50Z,@Sutomo-w1n,Ini negara harus siapkan gedung penjara yg lebih besar atau lebih banyak  penjara. Karena akan banyak rakyat Indonesia masuk bui. Selamat buat pemerintah,0,0.0
4_3LY-OHPbs,Ugzi-IMN0gcKCIroGsl4AaABAg,,comment,1767831464.0,2026-01-08T00:17:44Z,@ABDUH-nunu,NEGARA MILIK JOKOWI SEKELUARGA BESERTA AGUAN SIGIT TITO CS,0,1.0
4_3LY-OHPbs,UgzxFqDNWo1vKcmvaat4AaABAg,,comment,1767831478.0,2026-01-08T00:17:58Z,@EpicJos,"Saya yg minim edukasi sdh nonton beberapa X forum kompas NARASUMBER yg dihadirkan selalu orang2 berkompeten dan berargument pun tidak dengan sentimen,,, maju trs kompas dg kritik dan Literasi mencerdaskan RAKYAT ❤❤❤",1,0.0
4_3LY-OHPbs,UgwhG0W1EOXTx5N9JYt4AaABAg,,comment,1767831625.0,2026-01-08T00:20:25Z,@SartiSarti-r7s,Dpr.katanya.wakil.rajyat.tapi.tdk.membela.rakyat.buktinya.ketika.rakyat..memohon.dan.mengharapkan.uu.perampasan.aset.koroptor.sampai.sekarang.dpr.tdk.mau.mengesahkan. apakah.dpr.wakil.rakyat.apa.wakil.koroptor.,0,0.0
4_3LY-OHPbs,UgwYb0r1JJsnHHNQk094AaABAg,,comment,1767831846.0,2026-01-08T00:24:06Z,@arlanmajasi8883,Presiden juga klau tdk memenuhi sumpah jabatan dan janji kampanyenya sama saja dgn menghina pemberi mandat yg menggajinya adlh rakyat krna pejabat negara adlh pelayan rakyat,0,0.0
4_3LY-OHPbs,UgwxaKpJjGo--u-F42t4AaABAg,,comment,1767831849.0,2026-01-08T00:24:09Z,@putusudarma6341,"Maaap ya demokrasi tetap jalan dan hidup kalau kritik itu  sifatnya membangun pak . Dan bukan kritik yang sifatnya memfitnah , membenci , dan merendahkan orang lain pak .",0,0.0
4_3LY-OHPbs,Ugz9G5zKPphWZOBOcKR4AaABAg,,comment,1767831906.0,2026-01-08T00:25:06Z,@masmunandar1662,Pemerintah.bertindak.sewenang.wenang.pada.rakyat.semakin.banyak.pula.bencana.dimana.mana.dan.juga.menampar.muka.Pemerintah.(th.2029.No.Pemilu.semua.partai.jatuh.tersungkur.),0,0.0
4_3LY-OHPbs,UgzBF0yme_0Ad0M0yXh4AaABAg,,comment,1767831937.0,2026-01-08T00:25:37Z,@SartiSarti-r7s,Rakyat.sekarang.sdh.tdk.per.caya.dengan.dpr.dpr.hanya nemikirkan.diri.sendiri.dan.golonganya.bahkan.dpr.adalah.pelindung.koroptor,1,1.0
4_3LY-OHPbs,UgyKshlHM1ubn1FyI-54AaABAg,,comment,1767831986.0,2026-01-08T00:26:26Z,@ABDUH-nunu,"SELAMA LEGISLATIF EKSEKUTIF YUDIKATIF JADI SARANG KORUPTOR, JANGAN PERNAH BERHARAP ADA KEADILAN KEMANUSIAAN DAN KEDAULATAN RAKYAT INDONESIA",3,0.0
4_3LY-OHPbs,UgwkCsr__j5OC5SlPKp4AaABAg,,comment,1767832009.0,2026-01-08T00:26:49Z,@RustianYons,CAMBUK UNTUK RAKYAT,0,0.0
4_3LY-OHPbs,Ugzi-IMN0gcKCIroGsl4AaABAg.ARhB1VeJLb3ARhDF9vmCvS,Ugzi-IMN0gcKCIroGsl4AaABAg,reply,1767832624.0,2026-01-08T00:37:04Z,@sendalswallow2301,Kenapa jokowi beye beye paling para korupsi proyek mangkrak. Orang seperti kamu susah melihat org baik karena sakit hati yg ada merasuk didalam dirimu,0,
4_3LY-OHPbs,Ugx0WZyLGLsvZm3SIpd4AaABAg,,comment,1767832662.0,2026-01-08T00:37:42Z,@fatirmuchtar9706,Model orba kembali,0,0.0
4_3LY-OHPbs,UgzLtaOwWfxoKqDFRGV4AaABAg,,comment,1767832759.0,2026-01-08T00:39:19Z,@masmunandar1662,"Demo.besar.tidak.berpengaroh.dng.KUHP
.tetap.berjalan.bahkan.lebih.ganas..",0,0.0
4_3LY-OHPbs,Ugy2QcIkNrLCiAoRWLV4AaABAg,,comment,1767833050.0,2026-01-08T00:44:10Z,@SumanandarArema,"Semua tampak bagus diatas kertas. Implementasi di lapangan seringkali jauh berbeda. 
• Siapa yg akan melakukan supervisi & koreksi thd APH yg tidak mematuhi KUHP & KUHAP? Thd APH/IPH yg melakukan abuse of power? 
• Apalagi selama ini DPR hnylah Stempel Karet Eksekutif, tidak berfungsi sbg Perwakilan Rakyat. 
• Implementasi Pasal 33 UUD 45 saja, tidak terbukti dlm praktek selama puluhan tahun. 
Apalagi cuma KUHP & KUHAP?",0,0.0
4_3LY-OHPbs,UgxVzuJPMpj6Oz09GGF4AaABAg,,comment,1767833055.0,2026-01-08T00:44:15Z,@masmunandar1662,Pembuat.KUHP.para.koruptor.(isinya.tujuan.melindungi.koruptor.,0,0.0
4_3LY-OHPbs,UgxWGP0jXKQ2F74-BuR4AaABAg,,comment,1767833573.0,2026-01-08T00:52:53Z,@suibdatuk7309,Kalau aja pejabat dan pemimpin itu jujur dan adil   dia tidak memikirkan  KUHP & KUHAP baru,3,0.0
4_3LY-OHPbs,UgyQKn9_KPaxSMxtr7d4AaABAg,,comment,1767833874.0,2026-01-08T00:57:54Z,@suibdatuk7309,Kalau takut di kritik dan di hujat  jangan jadi pejabat.   Resiko terima uang Rakyat bya begitu,2,1.0
