video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
CdZvEO8qP-g,UgxOG5kHonlo5T6sfy54AaABAg,,comment,1763468200.0,2025-11-18T12:16:40Z,@rehansabneno670,Keiginan seluruh masyarakat indonesia RUU perampasan aset yg harus di sahkan bukan RU KUHAP,119,16.0
CdZvEO8qP-g,Ugy5OhtY4SLJqRiIplh4AaABAg,,comment,1763468221.0,2025-11-18T12:17:01Z,@TrianakFutsal,"Bukan wakil rakyat tapi maling rakyat 
Ayo kita bersatu masyarakat bergerak",67,0.0
CdZvEO8qP-g,UgzjtW1AH9rsZzjsF8x4AaABAg,,comment,1763468312.0,2025-11-18T12:18:32Z,@erinazhafira9204,Menjijikan,38,1.0
CdZvEO8qP-g,Ugx4TUxhSKJ5LZO4X7t4AaABAg,,comment,1763468354.0,2025-11-18T12:19:14Z,@Zahrafathim-ix7jc,Lagi. lagi PUAM JELEK😂😂😂,13,0.0
CdZvEO8qP-g,Ugxj9zY3PtQe6eB9jVp4AaABAg,,comment,1763468401.0,2025-11-18T12:20:01Z,@Zahrafathim-ix7jc,"apapun keputusannya jika ketua dpr PUAN MAHA SETRESSSS
pasti amburadul😂😂😂",67,1.0
CdZvEO8qP-g,UgyW1MJLe4ECUlhxQAt4AaABAg,,comment,1763468406.0,2025-11-18T12:20:06Z,@ZamiZami-m8r,sampai kiamat gitu2 aja ngak ada zatnya,3,0.0
CdZvEO8qP-g,UgxOG5kHonlo5T6sfy54AaABAg.APf8lUpJeWXAPf9AB-BhJl,UgxOG5kHonlo5T6sfy54AaABAg,reply,1763468410.0,2025-11-18T12:20:10Z,@MataneGopak,Di kesampingkan karena mereka semua koruptor,9,
CdZvEO8qP-g,Ugy05bFT-dvTjkBLaRZ4AaABAg,,comment,1763468447.0,2025-11-18T12:20:47Z,@MasEko-o3z,Coba uu perampasan aset secepat itu,35,0.0
CdZvEO8qP-g,UgwLOa7En-0t2J4QFpJ4AaABAg,,comment,1763468447.0,2025-11-18T12:20:47Z,@afrindo6795,Kasino jadi DPR,7,1.0
CdZvEO8qP-g,UgwyOiutUD8rNTacLaR4AaABAg,,comment,1763468456.0,2025-11-18T12:20:56Z,@BengBang-d6s,Hadeh ini apa lagi sih  jijik ga sih gaiis,0,0.0
CdZvEO8qP-g,UgxdXzRsUgAdT_qwHZ54AaABAg,,comment,1763468460.0,2025-11-18T12:21:00Z,@mzk5628,Dasar taee,0,0.0
CdZvEO8qP-g,UgzoEVnOgBW1u7cg1ct4AaABAg,,comment,1763468464.0,2025-11-18T12:21:04Z,@perwira83,Cair-cair,8,0.0
CdZvEO8qP-g,UgxOG5kHonlo5T6sfy54AaABAg.APf8lUpJeWXAPf9Q4o_bPw,UgxOG5kHonlo5T6sfy54AaABAg,reply,1763468540.0,2025-11-18T12:22:20Z,@Yok-chan-1718,Yagabakal sih karna mereka itu koruptornya sendiri😂,8,
CdZvEO8qP-g,Ugzzw6V5R3-tHz4XKOx4AaABAg,,comment,1763468547.0,2025-11-18T12:22:27Z,@AgusBima-r5r,kapan ketua DPR di ganti ya ku lihat gak ada mukanya,26,0.0
