video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
R5R2AzsQW4c,UgwRyMmKGpQaD_kf1WR4AaABAg,,comment,1763551100.0,2025-11-19T11:18:20Z,@baperaspot-ih2xs,Ayo nepalkan,12,4.0
R5R2AzsQW4c,UgwvaIu5z3B-ahElvR54AaABAg,,comment,1763551249.0,2025-11-19T11:20:49Z,@yaminpamaton,Penjelasan uu perampasan aset koruptor kapan,24,0.0
R5R2AzsQW4c,Ugy5snMEnudALJ8OrmJ4AaABAg,,comment,1763551340.0,2025-11-19T11:22:20Z,@EmirSyah-do2mq,"Di suruh mengesahkan RUU perampasan aset koruptor kebanyakan cing cong,giliran UU ga penting cepet bngt mengesahkannya..akibat kebanyakan dugem  dan minum khamar otaknya kotor ga mau mendengarkan suara rakyat",88,9.0
R5R2AzsQW4c,UgwRyMmKGpQaD_kf1WR4AaABAg.APhbt6YNacuAPhcRg_1anz,UgwRyMmKGpQaD_kf1WR4AaABAg,reply,1763551391.0,2025-11-19T11:23:11Z,@user-rw9qj7kl8i,Ogah diatur oleh lu wahai provokator 😂,1,
R5R2AzsQW4c,UgwQ61uHCsZI2Ms1Kcp4AaABAg,,comment,1763551396.0,2025-11-19T11:23:16Z,@rusidahrusidah5656,"Putusan Hakim yg kliru, dianggap pelanggaran ringan ?
 tp bgmn dampaknya dr perbuatan yg dianggap pelanggaran ringan tsb. bagi masa depan kehidupan orang lain, & bangsa &/ negara ?",19,0.0
R5R2AzsQW4c,UgwRyMmKGpQaD_kf1WR4AaABAg.APhbt6YNacuAPhcTd37CVm,UgwRyMmKGpQaD_kf1WR4AaABAg,reply,1763551407.0,2025-11-19T11:23:27Z,@user-rw9qj7kl8i,"Emang kau siapa nyuruh""😂",1,
R5R2AzsQW4c,UgwRyMmKGpQaD_kf1WR4AaABAg.APhbt6YNacuAPhcW6OZg9-,UgwRyMmKGpQaD_kf1WR4AaABAg,reply,1763551427.0,2025-11-19T11:23:47Z,@user-rw9qj7kl8i,"Emang kau siapa, kok nyuruh- nyuruh 😂",2,
R5R2AzsQW4c,UgwFXMAleKWwwjyNIhh4AaABAg,,comment,1763551543.0,2025-11-19T11:25:43Z,@hadiwibowo7031,Ganti puan,10,2.0
R5R2AzsQW4c,UgxWNk2qsYYycFnNBct4AaABAg,,comment,1763551622.0,2025-11-19T11:27:02Z,@raisyanuralsifa9163,"Malah Mlenceng!
Ini brlum,rakyat belum mau yang ini.
Yang itu tu dulu,perampasan Aset,kapan!!!!?",23,0.0
R5R2AzsQW4c,UgxzQXgb4-GdDEC22hF4AaABAg,,comment,1763551674.0,2025-11-19T11:27:54Z,@FirmanSyah-of7hx,"Pasal khusus para pengacara&hakim,,,ketika mereka(pejabat),,mendapat kasus disidang😅😅😅😅kaya bodoh aja masyrakat😂😂😂uud perampasan manaaaaaa😅",6,0.0
R5R2AzsQW4c,Ugw7f28k4e2o6q6W7JZ4AaABAg,,comment,1763551684.0,2025-11-19T11:28:04Z,@raffieimir5970,Kuhp main main seh,1,0.0
R5R2AzsQW4c,UgxhQLPNMcGJvFTs30N4AaABAg,,comment,1763551686.0,2025-11-19T11:28:06Z,@tianforguso,Perampasan aset bagaimana kabarnya,3,0.0
R5R2AzsQW4c,UgwP9UzufNDk7LBN1o94AaABAg,,comment,1763551694.0,2025-11-19T11:28:14Z,@HeriIrawan-x5x,"Digembosi lagi keadilan dinegri ini, mencoba bikin undang2 untuk melindungi diri🤣🤣🤣🤣",33,2.0
R5R2AzsQW4c,UgzuW_ieLpAm3nJo-mV4AaABAg,,comment,1763551703.0,2025-11-19T11:28:23Z,@kuswandi5771,"Memang gitu kacung kita rakyat indonesia, udah bubarin aja , untung saya belum pernah nyoblos seumur saya",18,1.0
R5R2AzsQW4c,Ugwlzogb4Sq9nARy9fV4AaABAg,,comment,1763551757.0,2025-11-19T11:29:17Z,@YUSRIZALSENSEICH,Ga ada harapan negara ini maju,47,3.0
R5R2AzsQW4c,UgxTT3ujnK77hWqiqDd4AaABAg,,comment,1763551815.0,2025-11-19T11:30:15Z,@setyabudi8578,"Giliran revisi kuhap Hewan perwakilan rayap cepat se x tp giliran UU perampasan harta kekayaan koruptor HEWAN PERWAKILA RAYAP LELET SE X,DAN TIDAK BERMINAT MEMBAHASNYA,ANGGOTA HEWAN2 INI LAYAK DINEPALKAN.",9,0.0
R5R2AzsQW4c,Ugw0cZEZCAUTQ_kMRPN4AaABAg,,comment,1763551900.0,2025-11-19T11:31:40Z,@anessatria2599,DPR KAYANYA SEDANG SENGAJA MOLOR YA UTK MENGURUS SOAL UU PERAMPASSAN ASET?,2,0.0
