video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
UW9Fv322x4I,Ugw6GSGc9ahVwHUOJn14AaABAg,,comment,1763510961.0,2025-11-19T00:09:21Z,@nasriahnati3345,Nuna ngono ae....gedabrussss...korupsi noooo....syahkan kok ngotak ngatik pelemahan aeeew...gak wani,1,0.0
UW9Fv322x4I,Ugyu_tAOLdxcl9Ih8WV4AaABAg,,comment,1763511001.0,2025-11-19T00:10:01Z,@matarajawali616,Mantap kalau DPR mau kerja cepat juga bisa kok... cair cair cair....😂,2,0.0
UW9Fv322x4I,Ugx15wLCpldCggX-VXF4AaABAg,,comment,1763511010.0,2025-11-19T00:10:10Z,@shearts77,"Ngga ada angin ngga ada hujan, NGGA ADA PERSETUJUAN DARI RAKYAT, udah sah aja ini UU
Legislatif kocak",18,0.0
UW9Fv322x4I,Ugwojv1puaFpRT71kHd4AaABAg,,comment,1763511022.0,2025-11-19T00:10:22Z,@Sumarno-ge7de,RUU perampasan aset?,5,1.0
UW9Fv322x4I,Ugy66kuC1AX2Ak7DVfN4AaABAg,,comment,1763511105.0,2025-11-19T00:11:45Z,@bambangsubekt,"Tiba2 ga ada ngomong ama kita2 main sah2 aja ni para kacung😅, yg di suruh kerjain dari kemarin UU perampasan aset ga kelar2 emang T4i anak buah kita ini",82,10.0
UW9Fv322x4I,Ugzvqz_BP4albfeZ_at4AaABAg,,comment,1763511153.0,2025-11-19T00:12:33Z,@sutresna3537,Ra penting.,1,1.0
UW9Fv322x4I,UgzvokV4WbEnuUqKlfF4AaABAg,,comment,1763511185.0,2025-11-19T00:13:05Z,@Julian009-z2b,Nggak kapok2 yaa kejadian demo depan DPR habis2an dan memakan korban beberapa bulan lalu tdk menjadikan mereka kapok,7,3.0
UW9Fv322x4I,UgwxbJbHVMpXcA1WfDt4AaABAg,,comment,1763511187.0,2025-11-19T00:13:07Z,@kokohsunaryono1817,halah jmbt kadal,0,0.0
UW9Fv322x4I,UgyHT_OozifmD7KKQoV4AaABAg,,comment,1763511211.0,2025-11-19T00:13:31Z,@MuhamadNurwahidin-mr3gn,"Ngeliat mukanya puan, kenapa enek banget gw yaaaa. Pengen bangettttt gw ludahinnnn mukanya",34,2.0
UW9Fv322x4I,UgxIxMow9JGAQQOxGJB4AaABAg,,comment,1763511249.0,2025-11-19T00:14:09Z,@marcelpiri,uda hancur besok Tambah.... Tambah PARAH,2,0.0
UW9Fv322x4I,UgwMUakJHtvbb3XCRnB4AaABAg,,comment,1763511267.0,2025-11-19T00:14:27Z,@S.Muncen-c4f,Yg lebih penting untuk ke makmuran Rakyat . UUD perampasan aset para KORUPTOR . Itu cepat2 di Ujutkan atau di sah kan .  Itu baru wakil Rakyat . Ingat Anda2 di pilih Rakyat .,17,5.0
UW9Fv322x4I,UgxJyr5tx5jMESmqrpZ4AaABAg,,comment,1763511334.0,2025-11-19T00:15:34Z,@ndaa_chan-n8g,"Selagi puan ketuanya ya pasti selalu berulang bikin kontradiksi, demo pecat puan..",50,4.0
UW9Fv322x4I,UgySqzDxeXJpjIa5RIJ4AaABAg,,comment,1763511371.0,2025-11-19T00:16:11Z,@abdeeoshi,Cepet amat.. Ini ngesahkannya ga pas mabok kan???😮,0,0.0
UW9Fv322x4I,UgzI4UXc7e9MHi9GKS94AaABAg,,comment,1763511452.0,2025-11-19T00:17:32Z,@ersadwiutami554,"badut sesungguhnya ya mereka itu, yg salah bukan mereka yang paling salah ya rakyat mau saja beli jualan mereka mereka tak ada disana bila tak ada yang beli barang abstrak.",0,0.0
