video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
fN9vq5eSEeM,UgwQhyVjyImyZRut8TR4AaABAg,,comment,1767721809.0,2026-01-06T17:50:09Z,@UsmanKR1505,"Ngatur subsidi tepat sasaran aja nggak bisa.. 🤣🤣🤣 undang undang perampasan aset tak di sahkan, bagaimana bisa buat undang undang yang bisa bikin rakyat jadi makmur.. nggak logika bro.. 😂😂😂",4,0.0
fN9vq5eSEeM,Ugx14tO6mmCAjm5Fpvx4AaABAg,,comment,1767723102.0,2026-01-06T18:11:42Z,@donnydonnyromdony9425,"W kan rakyat ya bayar pajak,,w mau UU itu dibuat nguntungin rakyat, mensejahterakan rakyat,. ehhh pasal koruptor turun 😂😂😂,,, kirain tembak mati koruptor, kunyukkkkk",0,0.0
fN9vq5eSEeM,Ugwfby9xgUbQ96g8qS94AaABAg,,comment,1767723250.0,2026-01-06T18:14:10Z,@donnydonnyromdony9425,"Padahal JELAS NYATA KORUPSI merugikan negara dampaknya terhadap kehidupan 😂😂 ,,, EMANK paling PINTER u pada",2,0.0
fN9vq5eSEeM,UgxciAwISK_TLNiIzbV4AaABAg,,comment,1767725596.0,2026-01-06T18:53:16Z,@jonimekanikJonimekanik,MOHON  UUD KORUPTOR  PEMBERANTASAN KORUPSI  DI UTAMAKAN  .DI INDONESIA .BANYAK MENIMBULKAN  KERUGIAN .RAKYAK MENDERITA.PEKERJAAN SULIT DIMANA2 DI INDONESIA  TAMBANG EMAS TERBESAR  KENAPA RAKYAT HIDUP MASIH BANYAK DI GARIS KEMISKINAN..SELAMA INI  MANA HASILNYA UNTUK KESEJAH TERAAN BAGI  RAKYAT. INDONESIA.KALAU KORUPTOR HIDUP GENTAYANGAN DIMANA2.,17,1.0
fN9vq5eSEeM,Ugynx8HfL-vpk1qF0rF4AaABAg,,comment,1767725604.0,2026-01-06T18:53:24Z,@sylviamargaretha9667,"Suka² dah buat aturan hukum. Katanya negara demokrasi, tapi faktanya.... (titik² isi sendiri)",1,0.0
fN9vq5eSEeM,Ugxh7XtRTBpRVSWcm0t4AaABAg,,comment,1767726006.0,2026-01-06T19:00:06Z,@kreatifch7443,"jika KUHAP dan KUHP itu ada pasalnya yang melanggar HAm rakyat , maka rakyat bisa menuntut yg membuat dan mensyahkan UU ini ke pengadilan HAM internasional",8,1.0
fN9vq5eSEeM,UgwSDvBC5yBHZaESKGV4AaABAg,,comment,1767726230.0,2026-01-06T19:03:50Z,@srihidayah1583,PASAL KUHP...RAKYAT KE PEMERINTAH MANA YA....??...Bukankah Indonesia Puncak Kekuasaan di miliki RAKYAT RI....😂😂 KUHP Abal2 Probowo omon-omon,1,0.0
fN9vq5eSEeM,Ugw-TYhKdaLmkhe7DPJ4AaABAg,,comment,1767729662.0,2026-01-06T20:01:02Z,@Yonathan-s6c,Era orba sudah kembali.,2,0.0
fN9vq5eSEeM,UgxWBxEFVW27gs-fwhp4AaABAg,,comment,1767734671.0,2026-01-06T21:24:31Z,@RezaEza-yz6zf,Parah banget ke pemimpinan sekarang udah 11/12 sama king solo,5,3.0
fN9vq5eSEeM,UgwzcVmV6xNa63QYixd4AaABAg,,comment,1767734836.0,2026-01-06T21:27:16Z,@NugrohoSupono,Negara emang cuma milik pejabat dan pengusaha rakyatny ngontrak,19,2.0
fN9vq5eSEeM,UgwpX3hwM8aveefRDtR4AaABAg,,comment,1767737328.0,2026-01-06T22:08:48Z,@gakurusgaming1814,Perampasan aset g di sah kan ini dah kmn2,2,0.0
fN9vq5eSEeM,UgzCh_TybNi-j5Pjtnp4AaABAg,,comment,1767738604.0,2026-01-06T22:30:04Z,@abdulbasit-ff4vw,"Dengan SENI hidup jadi INDAH. 
Dengan AGAMA HIDUP jadi terarah...😢AGAR kehidupan tidak kussut dan brantakkan negRi kita tercinta 😢😢😢",0,0.0
fN9vq5eSEeM,UgxWBxEFVW27gs-fwhp4AaABAg.AReIPwgO6-nAReW2ftOdsO,UgxWBxEFVW27gs-fwhp4AaABAg,reply,1767741820.0,2026-01-06T23:23:40Z,@TheZerotom,"kan emang uu ini sudah disahkan saat rezim solo, dan diberlakukan di era sekarang😅😅😅",0,
fN9vq5eSEeM,UgwwdYiB4AvApJLif-Z4AaABAg,,comment,1767743307.0,2026-01-06T23:48:27Z,@ketekbelek-d2w,Hebat yg korup.. Hukumnya ringan...,11,1.0
fN9vq5eSEeM,UgwJ9_N4XgwMgwj3ItB4AaABAg,,comment,1767743528.0,2026-01-06T23:52:08Z,@IsnainiSabrina,Perlahan kembali ke orba,0,0.0
fN9vq5eSEeM,Ugz0EhtDnF740CofPB14AaABAg,,comment,1767743536.0,2026-01-06T23:52:16Z,@IsnainiSabrina,Perlahan kembali ke orba,0,0.0
fN9vq5eSEeM,UgyykITiD67i3LmG4bh4AaABAg,,comment,1767743571.0,2026-01-06T23:52:51Z,@IsnainiSabrina,Perlahan kembali ke orba,0,0.0
fN9vq5eSEeM,Ugzixp-1ySa6sgQFeoV4AaABAg,,comment,1767743599.0,2026-01-06T23:53:19Z,@IsnainiSabrina,Perlahan kembali ke orba,0,0.0
fN9vq5eSEeM,UgzM30wowD6738Spgvp4AaABAg,,comment,1767744252.0,2026-01-07T00:04:12Z,@firmancarlova9838,"Rakyat di jadikan boneka oleh penguasa, parah emang, Indonesia akan bubar dan menuju kehancuran",1,0.0
fN9vq5eSEeM,Ugx3ZhAFZS5n2N6N6GB4AaABAg,,comment,1767744463.0,2026-01-07T00:07:43Z,@junisambolangi6188,"Kok hukum2 baru ini sangsinya  terlalu berat misalnya ternak yg dilepas di jalan umum,ambilaja hewannya sebagai sangsi itu saja masiarakat suda takut pak bahkan hukum saja tidak adil",0,0.0
fN9vq5eSEeM,Ugy_KHsi994_vWXz60x4AaABAg,,comment,1767744583.0,2026-01-07T00:09:43Z,@junisambolangi6188,"Kok aturan yang dibuat tajam kebawah ,koruptor tu yang diberatin bukan rakyat kecil",0,0.0
fN9vq5eSEeM,UgzEcSYdUl1UGt2wxLt4AaABAg,,comment,1767744725.0,2026-01-07T00:12:05Z,@junisambolangi6188,Melihat hukum yg dibuat sepertinya negarah pada kekuasaan pemerintah yg ingin menjadikan rakyatnya jadi robot yg mudah dikendalikan saja,0,0.0
fN9vq5eSEeM,UgwyZk_J_qPW13_c2UJ4AaABAg,,comment,1767745024.0,2026-01-07T00:17:04Z,@junisambolangi6188,"Rakyat tidak butuh hukum2 baru lagi yg hanya menjadi sumber pemasukan negara,apa guna keamanan nantinya kalau semua harus diambil alih pengadilan dan bisa jadi keamanan mengunakan hukum2 ini jadi alat pemerasan",3,0.0
fN9vq5eSEeM,UgxfdHfx5b8d55dsBL54AaABAg,,comment,1767746224.0,2026-01-07T00:37:04Z,@Adas-c5r,"Adil terhadap sesama, hidup baik pada jalan kebenaran, dan taat kepada Tuhan yang maha esa.",0,0.0
