video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
shoYSQlKgKY,UgzSnfU4yILJmKm1fxN4AaABAg,,comment,1767366862.0,2026-01-02T15:14:22Z,@AgungRubiyanto,oke baik 👍👌,0,0.0
shoYSQlKgKY,UgxGLNNW_Lf3vJLyE2J4AaABAg,,comment,1767367184.0,2026-01-02T15:19:44Z,@afifsulaeman1638,koruptor bagai mana?,11,2.0
shoYSQlKgKY,Ugzzz8FXsB42R2ajsSV4AaABAg,,comment,1767367401.0,2026-01-02T15:23:21Z,@dennisaints,"GILA!! FULL PASAL KARET!! KUHP Diktator Zalim ORBA !!  Mundur 50 tahun!! Sangat2 didesain hanya utk kepentingan PENGUASA!! Rakyat DIKRIMINALI SASI habis2an !! NGERI, JUSTRU BAKAL DEMO GILA2AN BESAR2AN ANCUR2AN  INI, TINGGAL TUNGGU REVOLUSI JILID 2!!

BUKANNYA INSYAF MALAH FULL PASAL KARET KRIMINALI SASI!!  KONOHA MEMANG GILA ANCUR2AN !!!",2,0.0
shoYSQlKgKY,UgwYU6uUzO6Kkid2TD94AaABAg,,comment,1767367523.0,2026-01-02T15:25:23Z,@afrizaromadhoni3137,"Welcome to WKWK land 😅

Yg begini yg disahkan, perampasan aset kga beres""",185,20.0
shoYSQlKgKY,Ugx4F0fmKeWkiZXzxTp4AaABAg,,comment,1767367690.0,2026-01-02T15:28:10Z,@sudianto5994,Para koruptor semua senyum manis.. para aktivis pengkritik pemerintah semua nangis... Salah pilih presiden loe rakyat Indonesia,0,1.0
shoYSQlKgKY,Ugx3GCNyEW7foN0w8W94AaABAg,,comment,1767367862.0,2026-01-02T15:31:02Z,@Ibrahim-wz7es,"Nampak x Prabowo antik kritik, ngpain jdi presiden klo antik kritik,publik malah anti kritik 😂😂",2,1.0
shoYSQlKgKY,UgwzTmXOeLiabRmUNxx4AaABAg,,comment,1767367984.0,2026-01-02T15:33:04Z,@Arie_lugas,Kocak lebih parah dari orba,0,0.0
shoYSQlKgKY,UgzGIYUgTInB4qUNkbd4AaABAg,,comment,1767368070.0,2026-01-02T15:34:30Z,@agus_medan,"Makin kelihatan kan, pemimpin yang kalian pilih selama ini cuma sibuk dengan undang-undang yang memperkaya diri sendiri, dan melindungi kepentingan diri sendiri, daripada mikirin kebijakan untuk melindungi rakyat dan mensejahterahkan rakyat. 

Lihat dan ingatlah wajah-wajah biadab mereka.",7,6.0
shoYSQlKgKY,Ugxk1T_WvmKKQcg4-tl4AaABAg,,comment,1767368151.0,2026-01-02T15:35:51Z,@c9pro61,Makin ke sini makin ke sono nih,0,0.0
shoYSQlKgKY,Ugx4F0fmKeWkiZXzxTp4AaABAg.ARUMSR7QBFCARUN_Fhk3SK,Ugx4F0fmKeWkiZXzxTp4AaABAg,reply,1767368278.0,2026-01-02T15:37:58Z,@sahabatkita8224,Kalo pelaku koruptor sudah tersangka ya ga masalah di hina. Kalo lambang negara dan presiden di hina ya pastilah mengandung unsur tindak pidana. Lagian kalo saya menghina ortumy dengan sebutan hewan apakah anda tidak marah. Dan saya mau tanya bang apakah anda tidak bisa bedakan menghina sama mengkritik? Anda pasti orang berpendidikan tinggi😂,0,
shoYSQlKgKY,UgxgOaVwxJp2AUtxrNd4AaABAg,,comment,1767368546.0,2026-01-02T15:42:26Z,@mataniqmataniq6986,"Semakin bnyak pasal undang"" baru di terapkan di sesebuah negara maka semakin banyak kejahatan baru atau asl nya perbuatan yg mendasarkan kritikan tp dgn adanya pasal baru ini itu sudah dikira 1 kejahatan yg boleh dipidanakan... Kocak”. Anti kritik rupanya🤔🤐",0,0.0
shoYSQlKgKY,UgxT123J9PxtI3eAert4AaABAg,,comment,1767368655.0,2026-01-02T15:44:15Z,@ramonda5851,Selamat menikmati,6,0.0
shoYSQlKgKY,Ugx-wSB5eYNuY3uHkTB4AaABAg,,comment,1767368691.0,2026-01-02T15:44:51Z,@boworumekso9434,Busuk .... percepatan Revolusi nih,4,1.0
