video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
w0d3QZfY60Y,UgyBCtjFEC6YB5EiD6B4AaABAg,,comment,1767252654.0,2026-01-01T07:30:54Z,@DilaDila-oo5ti,Jika nanti jokowi tidak datang ke pengadilan langsung kirim algojo kerumahnya sudah 10 tahun bikin resah sibuk di udara sampai banyak pesawat yg hampir Gagal mendarat Gara2 semua sinyal di sibuk urus jazah palsu,3,1.0
w0d3QZfY60Y,Ugzm7C0Vhw0F8bswseV4AaABAg,,comment,1767253571.0,2026-01-01T07:46:11Z,@syukroon123,"Pak ahok , Pak Anies , AHY dan bu susi harapan masa depan bangsa",3,2.0
w0d3QZfY60Y,UgxYWRUKwx7ilYrN4ul4AaABAg,,comment,1767263210.0,2026-01-01T10:26:50Z,@rantaumobilefix102,Pemerintah sruh kerja buat bencana lah,4,2.0
w0d3QZfY60Y,UgyMCp0w2W61jOVF0Bl4AaABAg,,comment,1767266210.0,2026-01-01T11:16:50Z,@erpanbangun6642,Koruptor gimana,15,3.0
w0d3QZfY60Y,UgzkaXt3G2OmQsEt_NZ4AaABAg,,comment,1767270343.0,2026-01-01T12:25:43Z,@DickySumarsono-f6x,"Tugas jaga ronda poskamling aja ga jalan, pada bayar semua....
Apalagi........
Ya sudahlah......
Nanti juga akhirnya ada opsi denda bayar ga hadir kerja sosial....",1,2.0
w0d3QZfY60Y,UgyG7ehWm0eV0jq4Omp4AaABAg,,comment,1767270602.0,2026-01-01T12:30:02Z,@madronimamat6643,Wong gemblung,0,0.0
w0d3QZfY60Y,Ugzm7C0Vhw0F8bswseV4AaABAg.ARQxmtOtT8wARRU8CVONR1,Ugzm7C0Vhw0F8bswseV4AaABAg,reply,1767271055.0,2026-01-01T12:37:35Z,@netralmanggalasanjaya4976,Betul sekali,0,
w0d3QZfY60Y,UgyBCtjFEC6YB5EiD6B4AaABAg.ARQw1yr28u0ARRUAoFGDzc,UgyBCtjFEC6YB5EiD6B4AaABAg,reply,1767271076.0,2026-01-01T12:37:56Z,@netralmanggalasanjaya4976,Betul sekali,0,
w0d3QZfY60Y,UgzUN_2BWLDGJw2joCR4AaABAg,,comment,1767271781.0,2026-01-01T12:49:41Z,@RudiRiawan-s8y1j,Betul ini sangat lebih  bermanfaat ketimbag di penjara ngabisin uang negara.,24,6.0
w0d3QZfY60Y,UgxYWRUKwx7ilYrN4ul4AaABAg.ARRFAZY5AE7ARRXB7Qyqoj,UgxYWRUKwx7ilYrN4ul4AaABAg,reply,1767272652.0,2026-01-01T13:04:12Z,@Formula1Epic,"Bro kemana aja? Udah kerja kalii, kecuali si Bahlil",0,
w0d3QZfY60Y,UgxMoteywxm1oVdyMXt4AaABAg,,comment,1767273888.0,2026-01-01T13:24:48Z,@19.jelena11,"bukanya mendahului, tapi biasanya....biasanya nih..... bayar aja ke pengawas semua beres (konoha dilawan)",7,5.0
