video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
yj8bKrEb1MM,UgxiLdiWmzwdVA77Xg14AaABAg,,comment,1767863753.0,2026-01-08T09:15:53Z,@sonnypang3318,"makin ancur konoha dibikin mereka, saatnya rakyat baersatu dan tyumbangkan rezim & oligarki yang menjajah",22,7.0
yj8bKrEb1MM,Ugx8C4TIJHIJiNFegdd4AaABAg,,comment,1767865539.0,2026-01-08T09:45:39Z,@azrafn,gak pernah merasa se-takut ini dibunuh negara 💔,29,3.0
yj8bKrEb1MM,UgyCDNHJW4XTSrcnvS14AaABAg,,comment,1767872283.0,2026-01-08T11:38:03Z,@lixcul5052,2026 -> indonesia CEMAS  !!,25,1.0
yj8bKrEb1MM,UgyWSGIUR5_UwFiY_3d4AaABAg,,comment,1767874660.0,2026-01-08T12:17:40Z,@sodikin3748,*Saya siap mati demi rakyat. Tapi saya lebih siap lagi bikin rakyat mati ketika mereka mengkritik saya. Ndasmu mledhoss...!!* 😢,9,0.0
yj8bKrEb1MM,UgwkHoAa9vojQkqFSht4AaABAg,,comment,1767876440.0,2026-01-08T12:47:20Z,@animasiyuki,Betul,3,0.0
yj8bKrEb1MM,UgwDd6v3rFS2wn3nyk94AaABAg,,comment,1767877403.0,2026-01-08T13:03:23Z,@lamel6973,"cari duit susah, beropini di represi, presiden halu
tinggal nunggu hancurnya aja",27,2.0
yj8bKrEb1MM,UgxYp8-CWMGovcvPIsN4AaABAg,,comment,1767880348.0,2026-01-08T13:52:28Z,@re9594,Coba yang bikin aturan sebenernya hapal ga sih pancasila???,1,0.0
yj8bKrEb1MM,UgzRETV1HyXUt9mo98Z4AaABAg,,comment,1767880512.0,2026-01-08T13:55:12Z,@re9594,"Serius mau tanya, kenapa orang-orang yang kritis di negara ini seringkali di bungkam dan pernyataan faktanya kaya diputar balikkan gitu seolah olah kita yang salah. Kalo orangnya udah sakit psikis sampe parah kek ""oh itu bukan salah kita"", eliminasi aja dia eliminasi. Btw ini berlaku dimanapun kita berada",2,0.0
yj8bKrEb1MM,UgxqJkOgcAP1mKYlxpt4AaABAg,,comment,1767880886.0,2026-01-08T14:01:26Z,@Kacangliar,Saya benci topik ini...,0,0.0
yj8bKrEb1MM,UgzRwKfuHzbWj7zEbap4AaABAg,,comment,1767881590.0,2026-01-08T14:13:10Z,@heriyanto.shipuden3744,Maju terus tempo jangan takut menyuarakan suara rakyat,21,1.0
yj8bKrEb1MM,Ugy6oZ2R3xFFHR0WFI14AaABAg,,comment,1767882237.0,2026-01-08T14:23:57Z,@Bookabookka,"intinya di suruh diam ,hapus aj sosmed kalian 😂",0,0.0
yj8bKrEb1MM,UgxFBh50tC8W7R6L28J4AaABAg,,comment,1767884545.0,2026-01-08T15:02:25Z,@mohamadiqbal9320,Di KUHAP Baru emang bisa sidang Online?,0,0.0
yj8bKrEb1MM,Ugxtvn-ikDymmWPFFnx4AaABAg,,comment,1767885099.0,2026-01-08T15:11:39Z,@irfankusnadi7383,Produk undang-undang cacat yang dilahirkan oleh lembaga terkorup,7,0.0
yj8bKrEb1MM,UgywbFuYLt7rDlwoDTZ4AaABAg,,comment,1767891787.0,2026-01-08T17:03:07Z,@rekzaprokonveksisablon1278,"tanpa kuhap baru yg pasalnya banyak pasal karet aj, polisi udh banyak cara bgmna memeras rakyat skrg ad kuhp bru yg pasalnya bnyak, pasal karet yg ""melegalkan"" pemerasan",5,0.0
yj8bKrEb1MM,UgzR8RdQJGMhKIgGq2F4AaABAg,,comment,1767893232.0,2026-01-08T17:27:12Z,@lausdeohendra8927,"Masihkah ada rasa optimis ???  RASANYA SUDAH Mati !! 
Kita yg pernah melewati masa ORBA, tahu Persis bahwa berbisik saja CUKUP RESIKO, tembok seakan punya telinga 😢😢😢 
Berkeras utk MENGKRITIK ??? Siap2 jd ""tahanan politik"" bahkan bisa ""HILANG"" Tak tahu dimana rimbanya .... Itulah masa yg ada PRESSURE yg tak terlihat tapi TERASA BENER 😅",11,3.0
yj8bKrEb1MM,Ugz3S-7ir79-_yoXS0h4AaABAg,,comment,1767893737.0,2026-01-08T17:35:37Z,@rhzcb,Tinggal tggu aj korban pertamanya sapa,5,0.0
yj8bKrEb1MM,Ugx8C4TIJHIJiNFegdd4AaABAg.ARiC15tEQ6XARj3o9SIILD,Ugx8C4TIJHIJiNFegdd4AaABAg,reply,1767894785.0,2026-01-08T17:53:05Z,@abuhurairah6268,Welcome to Orde Baru,4,
