video_id,comment_id,parent_id,type,create_time,create_time_iso,username,text,like_count,reply_count
zX1w17T4s7o,UgzR8AJ10-VVFYh4o4F4AaABAg,,comment,1763435169.0,2025-11-18T03:06:09Z,@EndangWirdaningsihkoba,Bela aok mafud md,1,0.0
zX1w17T4s7o,UgwPtnSFCO4h6wVQBh14AaABAg,,comment,1763435216.0,2025-11-18T03:06:56Z,@EndangWirdaningsihkoba,Ni internal jadi jelek akibat mafudmd,0,0.0
zX1w17T4s7o,Ugy7xUls1GEM1FuwVhF4AaABAg,,comment,1763435309.0,2025-11-18T03:08:29Z,@EndangWirdaningsihkoba,Usulan gua bikin surat izin usaha biar ngak ilegal,6,0.0
zX1w17T4s7o,Ugy4HisWCvOeXGMq7ih4AaABAg,,comment,1763435680.0,2025-11-18T03:14:40Z,@MoveF-cv6rz,"Kalau masalah dana reses naik diem bae, dan di naikkan diam diam 🫢🤫🫡",1,0.0
zX1w17T4s7o,Ugw0dvH4yrlPNGBMYA14AaABAg,,comment,1763435823.0,2025-11-18T03:17:03Z,@YusranGosse,Abiburahman nga mau lagi berurusan pada rakyat kecil tentang ijasah palsu. Dulu wauuu,0,0.0
zX1w17T4s7o,UgyjsEjJRMXTFlfnw8Z4AaABAg,,comment,1763435981.0,2025-11-18T03:19:41Z,@MadeSarjana-g5b8g,"Ketua komisi III. Komisi sama dgn fee, berarti dapat komisi 300jt per bulan.",0,0.0
zX1w17T4s7o,UgwN6W6VV3cVhXonc_B4AaABAg,,comment,1763436093.0,2025-11-18T03:21:33Z,@IvanCuex,Silvister kenapa sampai saat ini gak ditangkap.padahl sdh brp kali dipanggil,11,3.0
zX1w17T4s7o,UgxHNAzMww2l_ECW8n54AaABAg,,comment,1763436094.0,2025-11-18T03:21:34Z,@indah-n9,"Wajib fgd rncngn kuhap spya berkwalitas jngn arrognce. Polri hnya penyidik tunggal KUHP dilarang penyidik di luar KUHP, selain ppns juga diatur penyidik lainnya kkp dan TNI al sbg penyidik di zeei dan laut lepas, bukan Korwas polri, penyidikn langsung ke jpu",1,0.0
zX1w17T4s7o,UgzUwtljQt3pvpnNpZp4AaABAg,,comment,1763436149.0,2025-11-18T03:22:29Z,@FrankLauren-nu1lm,"RUU ini menegaskan polisi tak bisa menangkap orang sembarang karena semua penangkapan dan penggeledahan harus mendapat izi dari kepala pengadilan mulai dari penangkapan pencuri, begal, narkoba, pemalak, preman dll polisi harus mempunyai 2 alat bukti dan izin pengadilan untuk biss melakukannya, menurut saya kuhap ini malah akan menguntungkan para penjahat",29,7.0
zX1w17T4s7o,UgwUcwMBzwk6i_mzPHR4AaABAg,,comment,1763436277.0,2025-11-18T03:24:37Z,@integrakutacane5846,UU Perampasan Asset yang wajib disegerakan,41,5.0
